ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
ZH24	Zürich	Ottenbach	Frauenheim Ulmenhof	1	3			Gegründet 1918 durch den Verband deutschschweizerischer Frauenvereine zur Hebung der Sittlichkeit (jetzt Verband Frauenhilfe), eröffnet November 1918 im ehemaligen Doktorenhaus. Zweck: willensschwachen, Schutz und Leitung bedürftigen und sittlich gefährdeten Frauen, auch solchen, die trotz mehrjähriger vorausgegangener Anstaltserziehung sich nicht halten können, ein schützendes Heim mit zweckdienlicher Arbeitsgelegenheit zu bieten. Durch die Versorgung aus gefahrbringender Umgebung in das Heim soll den Versorgten bei einfacher, gesunder Lebensweise, regelmässiger Arbeit und vor allem durch christliche Leitung und Beeinflussung die Möglichkeit geboten werden, ein rechtschaffenes und nutzbringendes Leben zu führen.	A			"Arbeitserziehungsheim für willensschwache und sittlich gefährdete Mädchen und Frauen;
Vom Kanton benutzte Anstalt für vereinzelten Vollzug von Strafen und Massnahmen (Gefängnis, Versorgung und Arbeitserziehung)."	2			2	2	20			24	21	2					2	1	1		1												
ZH37	Zürich	Stäfa	Mädchenheim Dorinastift (Heim für schwererziehbare Mädchen)	3				"Heim für schwererziehbare Mädchen; Nachschulpflichtige (Eintrittsalter bis 20 Jahre)."		14–18 Jahre			2		Kommission		2	34		34			2	2			2		1	1	1													
ZH41	Zürich	Zürich	Knabenheim Selnau	3				Vorübergehende Aufnahme gefährdeter schulentlassener Knaben.		"Übergangsstation und Halbexternenheim; 16–20 Jahre"			1		Stadt Zürich		2	39		39			1	1			1		3	3	3													
ZH42	Zürich	Richterswil	Schweizerisches Erziehungsheim für katholische Mädchen	3				Erziehung von schwererziehbaren Mädchen.		15–23 Jahre		"Erziehungsheim für schulentlassene Mädchen und weibliche Jugendliche;
Vom Kanton benutzte Anstalt für die Nacherziehung nach Art. 91 StGB."	2		Stiftung der Gemeinnützigen Gesellschaft	2	3	70		50			2					2	2	2	2	2												
ZH43	Zürich	Pfäffikon	Haushaltungsschule Lindenbaum	3	8							"Hauswirtschaftliche Schule für geistig und körperliche gebrechliche Töchter;
Vom Kanton benutzte Anstalt für Massnahmenvollzug nach Art. 84 und 91 StGB."	2			2	2					32	2					2	3			3												
ZH44	Zürich	Mettmenstetten	Stadtzürcherisches Männerheim zur Weid	1				Gegründet 1912 durch die bürgerliche Armenpflege der Stadt Zürich zur Versorgung von psychopathisch veranlagten Männern.	A			"Verwahrung;
Arbeitserziehung"	1	1		1	3	60			70	60	1					1	3	3		3												
ZH45	Zürich	Dielsdorf	Pestalozzihaus der Stadt Zürich Burghof	3				Beobachtungs- und Erziehungsheim für Jugendliche.		"Heim zur Beobachtung und Erziehung von Jugendlichen; 15–20 Jahre"		"Erziehungsheim für Jugendliche und Minderjährige;
Beobachtungsstation;
Durchgangsheim"	1			1	2	30		26		30	1				1	3	3	3	3	3												
ZH46	Zürich	Bülach	Stadtzürcherisches Mädchenheim Heimgarten	3				Erziehung gefährdeter Mädchen.		"Stadtzürcherisches Mädchenheim; 14–22 Jahre"		Nacherziehung weiblicher Jugendlicher	1		Stadt Zürich	1	2	37		37		30	2				2	2	3	3	3	3												
ZH48	Zürich	Zürich	Städtisches Jugendheim Artergut	3				Vorübergehende Aufnahme und Beobachtung von Kindern. Eintrittsalter: von 2-6 und von 14-18 Jahren.					4				2	34					3	3					3	3														
ZH49	Zürich	Zürich	Magdalenenheim Zürich	3				Erziehung schwererziehbarer Mädchen.		16–22 Jahre		"Erziehungs- und Nacherziehungsanstalt für Mädchen und weibliche Jugendliche;
Heim für strafentlassene Mädchen und Jugendliche;
Vom Kanton benutzte Anstalt für administrative Einweisungen."	2		Verein	2	2			28		26	2				2	2	1	1	1	1												
ZH50	Zürich	Zürich	Städtisches Mädchenheim Riesbach	3				Erziehungs- und Rettungsheim.		16–22 Jahre		"Erziehungsheim;
Beobachtungsheim;
Durchgangsheim für Mädchen und weibliche Jugendliche"	1			1	2			28		22	2				2	2	3		3	3												
ZH51	Zürich	Zürich	Mädchenheim Tannenhof	3				"Durchgangsstation für sittlich gefährdete, schwererziehbare, mittel- und obdachlose Mädchen; Nachschulpflichtige (Eintrittsalter bis 20 Jahre)."					4				1	17					2	2					4	k.A.														
ZH52	Zürich	Zürich	Mädchenheim Pilgerbrunnen	3				"Soweit möglich berufliche und hauswirtschaftliche Ertüchtigung; Nachschulpflichtige (Eintrittsalter bis 20 Jahre)."		14–20 Jahre			2		Kommission		2	27		ca. 30			2	2			2		1	1	1													
ZH56	Zürich	Oberglatt	Landheim Siloah	3				"Vgl. Jenzer, ""Dirne, S. 359."		16–28 Jahre			2		Stiftung Landheim Siloah		2			30			2				2		1		1													1
	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933																																											
	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933																																											
	BAR E4112B#1991/201#226*																																											
	 Jugend-Anstaltsprobleme. Das schweizerische Anstaltswesen für die Jugend, Hgg.: Pro Juventute, Zürich 1945. [Sign.: NB N 54923]																																											
	BAR E4112B#1991/201#226*																																											
	Schwarz, Martin: Verzeichnis der Anstalten in der Schweiz des Straf- und Massnahmenvollzugs und der Untersuchungsgefangenschaft. Basel, 1954.																																											
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
